epoch,alpha,beta,loss,lr,predictions_coarse_acc,predictions_coarse_loss,predictions_fine_acc,predictions_fine_loss,time_elapsed,val_loss,val_predictions_coarse_acc,val_predictions_coarse_loss,val_predictions_fine_acc,val_predictions_fine_loss
30,0.0,1.0,0.07079349585374196,0.0005,0.9934166668256124,0.021197381049394608,0.9746458331743876,0.07079349585374196,2.8914151191711426,0.30541674375534056,0.9786666665077209,0.06802785288294157,0.9135,0.30541674375534056
31,0.0,1.0,0.06311216652393341,0.0005,0.9945625,0.018982335140307744,0.9769583333333334,0.06311216652393341,2.8911073207855225,0.29192716590563456,0.9798333330154418,0.06177118484179179,0.91475,0.29192716590563456
32,0.0,1.0,0.056906784882148106,0.0005,0.9942916666666667,0.019794659038384756,0.9800833333333333,0.056906784882148106,2.8865809440612793,0.2909771676063538,0.9796666663487752,0.06318643444776535,0.9179166669845581,0.2909771676063538
33,0.0,1.0,0.05619337033232053,0.0005,0.9941666666666666,0.019297001148263614,0.9800833331743876,0.05619337033232053,2.874363422393799,0.3031369394461314,0.97925,0.06423725167910257,0.9154999995231629,0.3031369394461314
34,0.0,1.0,0.053400079141060514,0.0005,0.9939375001589458,0.020077238276600837,0.9817500001589458,0.053400079141060514,2.9013736248016357,0.30665361960728965,0.9782500004768372,0.06695493950446446,0.9143333336512248,0.30665361960728965
35,0.0,1.0,0.05183937004208565,0.0005,0.9942916666666667,0.018778295300900937,0.9817708331743876,0.05183937004208565,2.8955564498901367,0.30728711501757305,0.9790000001589457,0.06675202709436416,0.9162499995231629,0.30728711501757305
36,0.0,1.0,0.049920305063327154,0.0005,0.9940208334922791,0.019378680427869163,0.9827291665077209,0.049920305063327154,2.9099676609039307,0.3085677217642466,0.9801666663487753,0.06365287336707115,0.9175833336512248,0.3085677217642466
37,0.0,1.0,0.04879871357480685,0.0005,0.9936250001589457,0.020520671561360358,0.9822916668256124,0.04879871357480685,2.8859572410583496,0.3203670197327932,0.9780833338101705,0.06742522904276847,0.9161666671435038,0.3203670197327932
38,0.0,1.0,0.04676984555522601,0.0005,0.9941666665077209,0.019867797633012135,0.983770833492279,0.04676984555522601,2.9087653160095215,0.3848444906075795,0.9784166671435038,0.07077880252401034,0.9100000003178914,0.3848444906075795
39,0.0,1.0,0.04484186246991158,0.0005,0.9940625,0.01945912740131219,0.9840208333333333,0.04484186246991158,3.6772093772888184,0.32673234097162884,0.9789166668256124,0.06678405820329984,0.9130833331743876,0.32673234097162884
40,0.0,1.0,0.03831638953089714,0.00025,0.9945,0.018339486626287302,0.9871875001589457,0.03831638953089714,2.8755738735198975,0.33897015714645384,0.9788333334922791,0.0689078860183557,0.91525,0.33897015714645384
41,0.0,1.0,0.035499362727006274,0.00025,0.9947291668256124,0.017995786969860393,0.9882708334922791,0.035499362727006274,2.9142215251922607,0.3399841842651367,0.9793333330154419,0.06758949134747187,0.9154166661898295,0.3399841842651367
42,0.0,1.0,0.03392698463797569,0.00025,0.9948749998410543,0.01794476657609145,0.989229166507721,0.03392698463797569,2.906538486480713,0.3255370268821716,0.9790000004768371,0.06667564449707666,0.9163333331743876,0.3255370268821716
43,0.0,1.0,0.032039921412865324,0.00025,0.9952499998410543,0.01769260237614314,0.9899583331743876,0.032039921412865324,2.8987483978271484,0.3385668006738027,0.9791666668256124,0.06742836355169614,0.9164166669845581,0.3385668006738027
44,0.0,1.0,0.03296056598424912,0.00025,0.9951666668256124,0.017495772587756316,0.9894791666666667,0.03296056598424912,2.8868627548217773,0.34311089078585305,0.9794166671435038,0.0674940293431282,0.9153333333333333,0.34311089078585305
45,0.0,1.0,0.032006995568672814,0.00025,0.9948125,0.01805430839955807,0.9904791665077209,0.032006995568672814,2.8901686668395996,0.356451465845108,0.9798333334922791,0.06883844153086345,0.9165833330154419,0.356451465845108
46,0.0,1.0,0.030681101262569427,0.00025,0.995,0.017086537718772887,0.9903958333333334,0.030681101262569427,2.919456720352173,0.34071777828534444,0.9799166668256124,0.06792253179351489,0.9160000003178914,0.34071777828534444
47,0.0,1.0,0.031220340798298517,0.00025,0.99475,0.01739195020496845,0.990145833492279,0.031220340798298517,2.9367783069610596,0.3471390833059947,0.9797500001589458,0.06766888308525086,0.9167499996821086,0.3471390833059947
48,0.0,1.0,0.030452388177315395,0.00025,0.9952499998410543,0.01692820078879595,0.9906875,0.030452388177315395,2.9234747886657715,0.3508370436032613,0.9789166668256124,0.06932853290438652,0.9142499996821085,0.3508370436032613
49,0.0,1.0,0.028283656348784766,0.00025,0.995416666507721,0.01742777310560147,0.9911875001589457,0.028283656348784766,2.9000484943389893,0.3563534646828969,0.9790000001589457,0.07028522220253944,0.9150833330154419,0.3563534646828969
